MARKET_PLACE,Product_code,Segment,Customer_Site_ID
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,944404
CHICAGO WISCONSIN,F1,Seg 1-3,945111
CHICAGO WISCONSIN,F1,Seg 1-3,945111
INDIANA KENTUCKY,A1,Seg 1-3,945157
BAY AREA,A4,Seg 4-6,945158
BAY AREA,F1,Seg 1-3,945158
BAY AREA,F1,Seg 1-3,945158
MICHIGAN,A4,Seg 4-6,945333
MICHIGAN,A4,Seg 4-6,945333
PACIFIC NORTHWEST,D3,Seg 1-3,945622
PACIFIC NORTHWEST,D3,Seg 1-3,945622
PACIFIC NORTHWEST,D2,Seg 1-3,945645
MINNESOTA IOWA,A2,Seg 1-3,945871
MINNESOTA IOWA,A1,Seg 1-3,945927
BAY AREA,D2,Seg 1-3,946261
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,946872
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,947651
CHICAGO WISCONSIN,D4,Seg 4-6,947915
INDIANA KENTUCKY,D2,Seg 1-3,947947
NORTH CENTRAL CALIFORNIA,A4,Seg 4-6,949044
NORTH CENTRAL CALIFORNIA,D1,Seg 1-3,949049
PACIFIC NORTHWEST,A2,Seg 1-3,949849
PACIFIC NORTHWEST,D3,Seg 1-3,949874
PACIFIC NORTHWEST,D4,Seg 4-6,949874
BAY AREA,F1,Seg 1-3,949989
BAY AREA,D1,Seg 1-3,949997
PACIFIC NORTHWEST,D1,Seg 1-3,950442
PACIFIC NORTHWEST,D1,Seg 1-3,950442
PACIFIC NORTHWEST,C2,Seg 1-3,950503
NEW YORK,D2,Seg 1-3,950524
NEW YORK,D2,Seg 1-3,950541
NEW YORK,F1,Seg 1-3,950541
BAY AREA,D4,Seg 4-6,950588
BAY AREA,D4,Seg 4-6,950588
BAY AREA,D4,Seg 4-6,950588
BAY AREA,D4,Seg 4-6,950588
BAY AREA,D4,Seg 4-6,950588
BAY AREA,D5,Seg 4-6,950588
BAY AREA,A2,Seg 1-3,950793
OHIO VALLEY,D2,Seg 1-3,950987
NEW YORK,D1,Seg 1-3,950991
NORTH CENTRAL CALIFORNIA,A4,Seg 4-6,951076
NEW YORK,F1,Seg 1-3,951125
OHIO VALLEY,D1,Seg 1-3,951430
MICHIGAN,A4,Seg 4-6,951565
MICHIGAN,A4,Seg 4-6,951565
INDIANA KENTUCKY,D4,Seg 4-6,951691
NEW YORK,F1,Seg 1-3,952026
OHIO VALLEY,C2,Seg 1-3,952168
OHIO VALLEY,A1,Seg 1-3,952168
OHIO VALLEY,D2,Seg 1-3,952168
PACIFIC NORTHWEST,D3,Seg 1-3,952327
PACIFIC NORTHWEST,A1,Seg 1-3,952408
NEW YORK,D3,Seg 1-3,952413
NEW YORK,D4,Seg 4-6,952537
NEW YORK,D3,Seg 1-3,953373
NEW YORK,F1,Seg 1-3,953751
BAY AREA,D1,Seg 1-3,953799
MINNESOTA IOWA,D1,Seg 1-3,953956
NEW YORK,D2,Seg 1-3,954025
OHIO VALLEY,D3,Seg 1-3,954069
OHIO VALLEY,D3,Seg 1-3,954069
OHIO VALLEY,D3,Seg 1-3,954069
NEW JERSEY,D2,Seg 1-3,954125
NEW YORK,D2,Seg 1-3,954163
NEW YORK,D3,Seg 1-3,954180
NEW YORK,F1,Seg 1-3,954229
NEW YORK,C1,Seg 1-3,954350
NEW YORK,C1,Seg 1-3,954393
NEW YORK,D1,Seg 1-3,954419
NEW YORK,D1,Seg 1-3,954436
NORTH CENTRAL CALIFORNIA,D2,Seg 1-3,954453
NEW YORK,F1,Seg 1-3,954491
NEW YORK,D3,Seg 1-3,954526
NEW YORK,D3,Seg 1-3,954904
NEW YORK,D3,Seg 1-3,954904
NEW YORK,D3,Seg 1-3,954904
NEW YORK,D1,Seg 1-3,954944
NEW YORK,D3,Seg 1-3,954944
NEW YORK,D4,Seg 4-6,954950
